Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
8002531292,EPC5238,NY,PAS,10/01/2014,21,SUBN,CHEVR,T,20390,29890,31490,01/01/20150111 12:00:00 PM,0007,7,7,345454,T800,A2,0011A,,NY,F,133,Essex St,,01/05/0001 12:00:00 PM,408,d1,,Y Y Y,1200A,0300A,BL,,2005,,0,A 77,21-No Parking (street clean),,,,,,,,,,,
8015318440,5298MD,NY,COM,03/06/2015,14,VAN,FRUEH,T,27790,19550,19570,01/01/88888888 12:00:00 PM,0025,25,25,333386,T103,B,0942A,,NY,F,1916,Park Ave,,01/05/0001 12:00:00 PM,408,c,,YYYYY,0700A,1000A,BROWN,,0,,0,CC3,14-No Standing,,,,,,,,,,,
7611181981,FYW2775,NY,PAS,07/28/2014,46,SUBN,SUBAR,T,8130,5430,5580,01/01/20160524 12:00:00 PM,0072,72,72,331845,T302,L,1020A,,K,F,184,31st St,,01/05/0001 12:00:00 PM,408,f1,,,,,BLACK,,2010,,0,J 32,46A-Double Parking (Non-COM),,,,,,,,,,,
7445908067,GWE1987,NY,PAS,04/13/2015,19,4DSD,LEXUS,T,59990,16540,16790,01/01/20170111 12:00:00 PM,102,102,102,355669,T402,D,0318P,,Q,F,120-20,Queens Blvd,,01/05/0001 12:00:00 PM,408,c3,,YYYYY,0300P,1000P,GY,,2015,,0,01 4,19-No Stand (bus stop),,,,,,,,,,,
7037692864,T671196C,NY,PAS,05/19/2015,19,4DSD,CHRYS,T,36090,10410,24690,01/01/88888888 12:00:00 PM,0028,28,28,341248,T103,X,0410P,,NY,F,66,W 116th St,,01/05/0001 12:00:00 PM,408,c3,,YYYYYYY,,,BLACK,,0,,0,19 7,19-No Stand (bus stop),,,,,,,,,,,
7704791394,JJF6834,PA,PAS,11/20/2014,21,4DSD,NISSA,T,74230,37980,38030,01/01/20150688 12:00:00 PM,0067,67,67,357104,T302,A,0839A,,K,F,1013,Rutland Rd,,01/05/0001 12:00:00 PM,408,d1,,Y,0830A,0900A,WHITE,,0,,0,C 32,21-No Parking (street clean),,,,,,,,,,,
7541599104,FYP8263,NY,PAS,08/01/2014,21,SUBN,HONDA,T,77530,63030,93230,01/01/20160605 12:00:00 PM,0079,79,79,355251,T301,O,0951A,,K,F,155,Skillman St,,01/05/0001 12:00:00 PM,408,d1,,Y  Y,0830A,1000A,BK,,2012,,0,10 3,21-No Parking (street clean),,,,,,,,,,,
7443513951,FZL7450,NY,PAS,07/19/2014,71,4DSD,VOLVO,T,49210,0,0,01/01/20140927 12:00:00 PM,103,103,103,353083,T402,L,1043A,,Q,I,S,Henderson Ave,30ft W/of 189th St,01/05/0001 12:00:00 PM,408,j6,,YYYYYYY,,,GR,,2002,,0,A 42,71A-Insp Sticker Expired (NYS),,,,,,,,,,,
7426321423,86318MA,NY,COM,09/23/2014,69,VAN,CHEVR,T,21690,26990,26790,01/01/20150720 12:00:00 PM,0005,5,5,346381,T105,E,0144P,,NY,O,199,Grand St,,01/05/0001 12:00:00 PM,408,h1,,Y,0900A,0700P,WH,,2007,,0,093,69-Failure to Disp Muni Recpt,,,,,,,,,,,
8017159560,GKX8095,NY,PAS,01/20/2015,71,4DSD,LEXUS,T,35490,35780,22670,01/01/20151207 12:00:00 PM,113,113,113,361082,T402,R,0259P,,Q,F,137-22,Bedell St,,01/05/0001 12:00:00 PM,408,j6,,YYYYYYY,,,GREEN,,1993,,0,N 42,71A-Insp Sticker Expired (NYS),,,,,,,,,,,
8017159560,GKX8095,NY,PAS,01/20/2015,71,4DSD,LEXUS,T,35490,35780,22670,01/01/20151207 12:00:00 PM,113,113,113,361082,T402,R,0259P,,Q,F,137-22,Bedell St,,01/05/0001 12:00:00 PM,408,j6,,YYYYYYY,,,GREEN,,1993,,0,N 42,71A-Insp Sticker Expired (NYS),,,,,,,,,,,
7002571382,CXT8949,TX,PAS,02/17/2015,20,SUBN,MAZDA,T,51190,9140,61090,01/01/88880088 12:00:00 PM,109,109,109,359625,T401,G,0459P,,Q,O,39-15,Janet Pl,,01/05/0001 12:00:00 PM,408,d,,YYYYY,0800A,0600P,WHITE,,0,,0,17 4,20A-No Parking (Non-COM),,,,,,,,,,,
7939966900,GSR4914,NY,PAS,05/05/2015,20,SUBN,DODGE,T,20090,14010,22890,01/01/20160911 12:00:00 PM,0005,5,5,361097,T101,E,0127P,,NY,O,48,Eldridge St,,01/05/0001 12:00:00 PM,408,d,,YYYYY,0800A,0600P,SILVE,,2008,,0,53 1,20A-No Parking (Non-COM),,,,,,,,,,,
7704167637,XBVP75,NJ,PAS,10/21/2014,16,VAN,FORD,T,5780,24830,43130,01/01/20140088 12:00:00 PM,0078,78,78,361332,T302,K,0401P,1200P,K,F,138,7th Ave,,01/05/0001 12:00:00 PM,408,k2,,YYYYYYY,,,WHITE,,0,,0,59 3,16-No Std (Com Veh) Com Plate,,,,,,,,,,,
7095480941,AP515N,NJ,PAS,08/21/2014,85,DELV,FRUEH,T,10790,19040,18990,01/01/88888888 12:00:00 PM,110,110,110,354200,T803,B,0225A,1014P,Q,O,97-11,50th Ave,,01/05/0001 12:00:00 PM,408,k5,,,,,WHITE,,0,,0,G 42,85-Storage-3 hour Commercial,,,,,,,,,,,
7831181295,16238TC,NY,TRC,08/07/2014,14,TRAC,PETER,T,13610,34410,34430,01/01/20150430 12:00:00 PM,0014,14,14,345058,T102,C,0802A,,NY,O,1260,Broadway,,01/05/0001 12:00:00 PM,408,c,,YYYYYYY,,,BLUE,,2014,,0,04 6,14-No Standing,,,,,,,,,,,
8007006229,122YEZ,CT,PAS,08/26/2014,21,4DSD,NISSA,T,5580,9080,9130,01/01/20140088 12:00:00 PM,0072,72,72,332021,T302,L,0817A,,K,O,5022,5th Ave,,01/05/0001 12:00:00 PM,408,d1,,Y,0800A,0830A,TAN,,0,,0,J 32,21-No Parking (street clean),,,,,,,,,,,
1369109532,65920JW,NY,COM,06/23/2014,46,VAN,MERCU,P,18770,10010,45590,01/01/20141031 12:00:00 PM,0019,19,19,942227,0019,0000,0945A,,NY,F,428,E 89,,01/05/0001 12:00:00 PM,408,F1,,BBBBBBB,ALL,ALL,BROWN,0,2007,-,0,,,,,,,,,,,,,
7580650400,GBU2135,NY,PAS,09/24/2014,71,SUBN,HONDA,T,10110,17190,17210,01/01/20160816 12:00:00 PM,0009,9,9,361338,T105,C,0804P,,NY,F,166,2nd Ave,,01/05/0001 12:00:00 PM,408,j6,,YYYYYYY,,,WH,,2012,,0,002,71A-Insp Sticker Expired (NYS),,,,,,,,,,,
7420795630,6AJWV5,CT,PAS,10/04/2014,37,SUBN,FORD,T,40220,27180,27270,01/01/88880088 12:00:00 PM,0048,48,48,361051,T201,G,0403P,0318P,BX,F,2390,Hoffman St,,01/01/20141004 12:00:00 PM,408,h1,,Y,0800A,0700P,BLACK,,0,213-1194,0,34 2,37-Expired Muni Meter,,,,,,,,,,,
1379105602,GDL7305,NY,PAS,01/21/2015,70,SDN,TOYOT,P,19330,10010,29090,01/01/20150105 12:00:00 PM,0025,25,25,919749,0025,0000,0644P,,NY,O,414,EAST 119 STR,,01/05/0001 12:00:00 PM,408,F1,,BBBBBBB,ALL,ALL,GRAY,0,2012,-,0,,,,,,,,,,,,,
7054223901,58359MD,NY,COM,03/26/2015,42,PICK,FORD,T,18070,0,0,01/01/20150831 12:00:00 PM,0014,14,14,357684,T106,L,0441P,,NY,I,N,E 54th St,20ft E/of 5th Ave,01/05/0001 12:00:00 PM,408,h1,,YYYYY,0700A,0600P,BL,,2011,143-3233,0,112,42-Exp. Muni-Mtr (Com. Mtr. Z),,,,,,,,,,,
8011213386,60304MD,NY,COM,10/06/2014,46,DELV,FRUEH,T,8140,8590,8690,01/01/88888888 12:00:00 PM,114,114,114,358655,T401,N,0301P,1200P,Q,F,35-34,31st St,,01/01/20141006 12:00:00 PM,408,F1,,,,,BROWN,,2014,,0,E-AM,46B-Double Parking (Com-100Ft),,,,,,,,,,,
7997989572,GJP9663,NY,PAS,01/24/2015,20,4DSD,NISSA,T,27390,36390,36430,01/01/20151029 12:00:00 PM,0030,30,30,354084,T103,L,1036A,,NY,O,94,Old Broadway,,01/05/0001 12:00:00 PM,408,d,,Y,0800A,0600P,BK,,2011,,0,CC1,20A-No Parking (Non-COM),,,,,,,,,,,
7997989572,GJP9663,NY,PAS,01/24/2015,20,4DSD,NISSA,T,27390,36390,36430,01/01/20151029 12:00:00 PM,0030,30,30,354084,T103,L,1036A,,NY,O,94,Old Broadway,,01/05/0001 12:00:00 PM,408,d,,Y,0800A,0600P,BK,,2011,,0,CC1,20A-No Parking (Non-COM),,,,,,,,,,,
7097098715,G78DLL,NJ,PAS,03/11/2015,38,SUBN,BMW,T,49130,67030,64830,01/01/88888888 12:00:00 PM,0079,79,79,358894,T301,G,1210P,,K,F,121,Herkimer St,,01/05/0001 12:00:00 PM,408,h1,,Y,0830A,0700P,GREY,,0,,0,09 3,38-Failure to Display Muni Rec,,,,,,,,,,,
7787591079,GKP6078,NY,PAS,11/19/2014,20,SUBN,CHRYS,T,15010,15510,26440,01/01/20151126 12:00:00 PM,0007,7,7,353194,T105,M,0713A,,NY,O,340,Cherry St,,01/05/0001 12:00:00 PM,408,d,,YYYYY,0700A,0400P,GL,,2005,,0,J 99,20A-No Parking (Non-COM),,,,,,,,,,,
8023905028,GAR6688,NY,PAS,02/24/2015,20,4DSD,MAZDA,T,26630,67030,64830,01/01/20161108 12:00:00 PM,0070,70,70,333002,T302,M,0943A,,K,O,324,Clarkson Ave,,01/05/0001 12:00:00 PM,408,d,,YYYYY,0800A,0600P,TN,,2008,,0,C 32,20A-No Parking (Non-COM),,,,,,,,,,,
1369992300,1545236,ME,PAS,08/20/2014,66,TRAI,,S,62030,81050,94630,01/01/20150228 12:00:00 PM,0075,75,0,527637,0PIU,0000,0334A,,K,F,651,MONTAUK AVE,,01/05/0001 12:00:00 PM,408,K4,,BBBBBBB,ALL,ALL,SILVE,0,0,-,0,,,,,,,,,,,,,
7359154236,M80ANH,NJ,PAS,11/14/2014,37,4DSD,ACURA,T,72720,26760,26790,01/01/88888888 12:00:00 PM,0048,48,48,356985,T201,F,0344P,0327P,BX,F,1405,Walton Ave,,01/05/0001 12:00:00 PM,408,h1,,Y,0800A,0700P,RED,,0,204-3008,0,48 2,37-Expired Muni Meter,,,,,,,,,,,
7950697490,25X944,OK,PAS,12/23/2014,46,DELV,INTER,T,16310,0,0,01/01/20140088 12:00:00 PM,0007,7,7,359578,T101,C,0240P,1200P,NY,I,N,Delancey St,10ft E/of Columbia S,01/01/20141223 12:00:00 PM,408,F1,,,,,WHITE,,0,,0,28 1,46B-Double Parking (Com-100Ft),,,,,,,,,,,
1371360765,36913MA,NY,COM,09/15/2014,46,DELV,HINO,P,10510,34230,34250,01/01/20150630 12:00:00 PM,0013,13,13,952479,0013,0000,1056A,,NY,O,716,6TH AVE,,01/05/0001 12:00:00 PM,408,E1,,BBBBBBB,ALL,ALL,WHITE,0,2012,-,0,,,,,,,,,,,,,
8035700765,GKB7155,NY,PAS,06/09/2015,21,SUBN,CHRYS,T,89030,60730,57030,01/01/20160224 12:00:00 PM,0090,90,90,355674,T301,G,1115A,,K,F,188,Wallabout St,,01/05/0001 12:00:00 PM,408,d1,,Y  Y,1100A,1230A,BR,,2015,,0,14 3,21-No Parking (street clean),,,,,,,,,,,
7766334392,CJP1169,NY,PAS,09/05/2014,37,SUBN,NISSA,T,64790,18640,18790,01/01/20150325 12:00:00 PM,103,103,103,361042,T402,B,0455P,0448P,Q,F,94-14,Sutphin Blvd,,01/05/0001 12:00:00 PM,408,h1,,Y,0900A,0700P,BLACK,,1998,403-3030,0,03 4,37-Expired Muni Meter,,,,,,,,,,,
7744281500,EYB8055,NY,PAS,12/18/2014,21,SUBN,TOYOT,T,0,0,0,01/01/20160402 12:00:00 PM,0052,52,52,361369,T201,H,1154A,,BX,I,W,Bainbridge Ave,10ft S/of E 208th St,01/05/0001 12:00:00 PM,408,d1,,Y  Y,1130A,0100P,GY,,2010,,0,55 2,21-No Parking (street clean),,,,,,,,,,,
8021902164,96313JE,NY,COM,04/07/2015,46,REFG,ISUZU,T,53830,29830,42730,01/01/20151231 12:00:00 PM,0084,84,84,357114,T301,E,1253P,1200P,K,F,210,Joralemon St,,01/01/20150407 12:00:00 PM,408,F1,,,,,WH,,2013,,0,01 3,46B-Double Parking (Com-100Ft),,,,,,,,,,,
7579558312,60154JZ,NY,COM,09/11/2014,89,PICK,CHEVR,T,10610,34530,34550,01/01/20160331 12:00:00 PM,0018,18,18,359588,T102,M,0741A,,NY,F,533,7th Ave,,01/05/0001 12:00:00 PM,408,l4,,YYYYYYY,0700A,0700P,WH,,2010,,0,10 6,89-No Stand Exc Com Plate,,,,,,,,,,,
7006621586,FFE3632,NY,PAS,08/12/2014,38,SUBN,TOYOT,T,47990,10240,10390,01/01/88888888 12:00:00 PM,108,108,108,355608,T401,J,0402P,,Q,F,45-17,Greenpoint Ave,,01/05/0001 12:00:00 PM,408,h1,,Y,0830A,0700P,BROWN,,2013,,0,36 4,38-Failure to Display Muni Rec,,,,,,,,,,,
7567693926,GSM7092,NY,PAS,07/14/2014,21,4DSD,HONDA,T,10540,10590,10790,01/01/20140818 12:00:00 PM,108,108,108,357710,T401,A,0916A,,Q,O,48-11,47th St,,01/05/0001 12:00:00 PM,408,d1,,Y,0900A,1030A,BLACK,,2014,,0,38 4,21-No Parking (street clean),,,,,,,,,,,
8013576309,44189JW,NY,COM,01/21/2015,71,VAN,FORD,T,6740,8590,8690,01/01/20150131 12:00:00 PM,114,114,114,361287,T401,S,1155A,,Q,F,35-34,21st St,,01/05/0001 12:00:00 PM,408,j6,,YYYYYYY,,,WH,,2007,,0,26 4,71A-Insp Sticker Expired (NYS),,,,,,,,,,,
8013576309,44189JW,NY,COM,01/21/2015,71,VAN,FORD,T,6740,8590,8690,01/01/20150131 12:00:00 PM,114,114,114,361287,T401,S,1155A,,Q,F,35-34,21st St,,01/05/0001 12:00:00 PM,408,j6,,YYYYYYY,,,WH,,2007,,0,26 4,71A-Insp Sticker Expired (NYS),,,,,,,,,,,
